kdrama_id,drama_name,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,Genre
102,Midnight Horror: Six Nights,2022,['Cho Yun Ho'],,South Korea,Drama,6,1500.0,"Oct 27, 2022","Oct 27, 2022",Thursday,,Not Yet Rated,"An anthology work composed of six episodes depicting the horrors found in everyday life. When an ordinary daily life turns into horror, it becomes eerie.(Source: HanCinema) ",58111,8608,Horror
103,Shadow Detective,2022,['Han Dong Hwa'],,South Korea,Drama,8,3420.0,2022-10-26,2022-11-16,Wednesday,Disney+ Hulu,15+ - Teens 15 or older,"Kim Taek Rok is a veteran detective at the Geumo Police Station waiting for his retirement. One day, he starts receiving phone calls from someone who claims to be an old friend. The caller tells him that he killed Kim Taek Rok’s colleague Woo Hyun Seok, suggesting looking into Kim Taek Rok's past to find things he did wrong. Initially, Taek Rok's Investigation Squad Chief Kook Jin Han, who recently transferred to Geumo Police Station, suspects Kim Taek Rok as Woo Hyun Seok's murderer, but he begins to trust Kim Taek Rok and his innocence. They begin to look for Kim Taek Rok’s mysterious caller with the help of detectives Lee Sung A and Son Kyung Chan.(Source: AsianWiki; edited by MyDramaList)",2602,3458,"Crime, Mystery, Thriller"
104,Choco Milk Shake,2022,['Ahn Ji Hee'],,South Korea,Drama,11,900.0,2022-10-25,2022-12-20,"Tuesday, Thursday",,Not Yet Rated,"A cat and dog cross the Rainbow Bridge and return to the terrestrial world in human form?!Jung Woo lives alone. When he was twenty, a fatal accident robbed him of all he loved: he lost not just his parents, but even the pet dog and cat, Choco and Milk, whom he had raised since childhood. One evening, after returning home from work in his uncle's café, he is disturbed by two handsome strangers knocking at his door. To his disbelief, they claim to be Choco and Milk! They can prove it, however: and after hearing their memories of earlier times together, Jung Woo realises that he has indeed been visited by the two beloved companions of his youth, reincarnated in human form.Choco and Milk settle themselves comfortably into Jung Woo's home, and the three once more enjoy the warmth and affection they have longed for since their cruel separation. But there are new dimensions to their resumed life together, and surprising discoveries to be made in the realms of friendship and love...(Source: MyDramaList)",5998,763,"Drama, Comedy, Romance"
105,She Makes My Heart Flutter,2022,,['Jo Ah Ra'],South Korea,Drama,5,780.0,2022-10-20,2022-11-06,"Thursday, Sunday",,Not Yet Rated,"Gang Seol and Jung One, niece and aunt, one outgoing and the other shy, work together at a women-only bar named 'Dickinson's Room'. Even though they have the same sexual orientation, they seem to be worlds apart and have very different love stories. (Source: MyDramaList) ",960,3178,"Comedy, Romance"
106,Fall for You,2022,['Kim Bo Ra'],['Shin So  Young'],South Korea,Drama,20,1560.0,2022-10-20,2022-12-23,"Thursday, Friday",EBS,G - All Ages,"A high-teen fantasy romance drama in which national idol Yoo Je Bi, who suffers from malicious comments, falls into romance novels and realizes the meaning of a new life.(Source: Korean = Naver || Translation = MyDramaList) ",2136,4272,"Drama, Fantasy, Romance"
107,May I Help You,2022,['Shim So Yeon'],['Lee Seon Hye'],South Korea,Drama,16,4200.0,2022-10-19,2022-12-22,"Wednesday, Thursday",Amazon Prime MBC,15+ - Teens 15 or older,"Baek Dong Joo is a former professional ping pong athlete, who has just started to work as a funeral director. On her first day on the job she finds out she has the gift, or curse, to momentarily resurrect and talk to the recently deceased people when she touches them. Those people between life and death have last wishes she has to grant, or her days will be filled with a series of bad luck and accidents. Scared out of her wits by the dead coming back to life, she runs away from her work place from day one, and instead returns to studying for the civil exam she’d failed before. However, since that day, the streak of bad luck and the memory of the first client she abandoned wouldn’t leave her alone. Hence, over a year later, Baek Dong Joo decides to return to work as funeral director, in order to fulfill her duty to and the wishes of the dead people to end her karmic misfortune. She has to grant 21 wishes in total to be freed of this fate.Kim Tae Hee, also known as Kim Jip Sa to his clients, works as a man for hire. Employed by his uncle Vincent running the newly opened errand service company “A Dime A Job” he can be hired for any odd but legal task for as little as one hundred Won. One day, Kim Tae Hee encounters Baek Dong Joo, when he was hired by her boyfriend to break up with her in his stead. After that, their paths continue to cross, and by the virtue of their jobs their fates get intertwined deeper and deeper in a series of life and death situations, surrounding the wishes of the people who had died, and the painful past it is going to unravel for both of them.(Source: MyDramaList)",1272,590,"Drama, Fantasy, Romance"
108,Under the Queen's Umbrella,2022,['Kim Hyung Shik'],['Park Ba Ra'],South Korea,Drama,16,4200.0,2022-10-15,2022-12-04,"Saturday, Sunday",Netflix tvN,15+ - Teens 15 or older,"Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into propercrown princes. Their mother, Im Hwa Ryeong,  is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-temperedqueen. Once more serene, she changed since people kept pushing her buttons.  Sheis a queen who sometimes abandons her pride andis even known to swear!  Every day of her life is full of trials, but she withstands them all, for the sake of her children.",40,489,"Drama, Comedy, History"
109,Take 1,2022,,,South Korea,Drama,7,3300.0,"Oct 14, 2022","Oct 14, 2022",Friday,Netflix,Not Yet Rated,"""What if you could only leave one stage before you died?""""Take 1"" is Netflix's first Korean-language music-documentary series, which allows big-name artists to perform their last on-stage concert.(Source: en.yna.co.kr) ",2254,8649,Music
110,Yonder,2022,['Lee Joon Ik'],"['Kim Jung Hoon', 'Oh Seung Hyun']",South Korea,Drama,6,1800.0,2022-10-14,2022-10-21,Friday,TVING,15+ - Teens 15 or older,"Set in the 2030s in the large city area of South Korea. It depicts the story of a man who lives in agony,unable to forget his wife who died of cancer. Then one day, he receives an unknown email and chooses to abandon his body to go live with his wife. It will portray a world where one can live forever without death, and will question the meaning of eternal life, death, memory and oblivion, and happiness and misery.(Source: Allkpop)~~ Adapted from a novel ""Goodbye, Yonder"" (굿바이, 욘더) by Kim Jang Hwan (김장환).~~ Release dates: Oct 6, 2022 (Festival) || Oct 14, 2022 (Broadcast)",5436,3812,"Drama, Science-Fiction"
111,Roommates of Poongduck 304,2022,['Teddy Hwang'],['No Ga Jung'],South Korea,Drama,8,1500.0,2022-10-13,2022-11-03,Thursday,,13+ - Teens 13 or older,"Ji Ho Jun, 29, a happy-go-lucky third-generation chaebol of Guemman Group, receives an ultimatum from his father to:1. Leave the house penniless and survive for two years; and2. Achieve results as a team leader in the new business team of the Guemman Group.Ho Jun was kicked out and moved to Villa, which he came to in a BMW Convertible. When he arrives, Seo Jae Yoon, the owner of the villa, ignores and treats him as a swampy man who drives a luxury car penniless. However, it turns out they work in the same company when they meet as a team leader and subordinate. What will happen between them?(Source: BLUpdate2020)",2870,570,"Drama, Romance"
112,The Witch's Game,2022,['Lee Hyung Sun'],['Lee Do Hyeon'],South Korea,Drama,119,2100.0,2022-10-11,2023-04-14,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC,15+ - Teens 15 or older,"Yu Kyung is a successful woman who is proficient enough to become an executive director of Chunha Group when she started as a secretary. She recently found out her daughter is alive, so she plans to get her back and take her revenge. Meanwhile, Hye Soo is a strong girl who faces challenges head-on. She has a daughter with Ji Ho, and she would do anything for her. However, she gets tragically betrayed by Ji Ho, the love of her life, over power and money. How will those two mothers end their fierce revenge?(Source: Kocowa)",55701,6367,"Drama, Romance, Supernatural"
113,Vengeance of the Bride,2022,['Park Ki Hyun'],['Song Jung Rim'],South Korea,Drama,102,2400.0,2022-10-10,2023-03-09,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2,15+ - Teens 15 or older,"Eun Seo Yeon is a warm and friendly woman. She runs a small business that produces cosmetics and sells them on the internet. She also works as a staff member at a make-up salon. In her past, she and her parents were in a very close relationship with Kang Baek San. He now runs a large cosmetics company. One day, Eun Seo Yeon learns that Kang Baek San is responsible for her parents’ tragedy. She becomes determined to take revenge on him for his past deeds. Following her plan, she marries Kang Tae Poong, who is Kang Baek San’s son.(Source: AsianWiki)",6947,5730,Drama
114,Glitch,2022,['Roh Deok'],['Jin Han Sae'],South Korea,Drama,10,3180.0,"Oct  7, 2022","Oct  7, 2022",Friday,Netflix,15+ - Teens 15 or older,"About a woman searching for her missing boyfriend, who disappeared one night in a flash of unknown lights. With the help of a community of UFO watchers, she uncovers the truth behind a mysterious secret.Hong Ji Hyo is a “parachute hire” (someone who got hired based on their family connections). She has a steady job and a solid family background. Although they are no longer passionately in love, she also has a boyfriend whom she’s dated for four years. The couple is beginning to think of marriage when her boyfriend suddenly goes missing.Heo Bo Ra is an unsuccessful Twitch streamer and a YouTuber with only a few hundred subscribers, whose content is all about mysteries. She’s a warrior who wields a keyboard as her weapon, and she’s a member of the UFO watcher community. She spends day after day inside her room, editing her videos.",5763,1297,"Drama, Mystery, Supernatural"
